author,date_day,date_month,date_year,loc_city,loc_country,tags,text
Albert Einstein,14,March, 1879, Ulm, Germany,"change,deep-thoughts,thinking,world",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
J.K. Rowling,31,July, 1965," Yate, South Gloucestershire, England", The United Kgdom,"abilities,choices","“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
Jane Austen,16,December, 1775," Steventon Rectory, Hampshire", The United Kgdom,"aliteracy,books,classic,humor","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
Steve Martin,14,August, 1945," Waco, Texas", The United States,"humor,obvious,simile","“A day without sunshine is like, you know, night.”"
Elie Wiesel,30,September, 1928, Sighet, Romania,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”"
Douglas Adams,11,March, 1952," Cambridge, England", The United Kgdom,"life,navigation","“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”"
Mark Twain,30,November, 1835," Florida, Missouri", The United States,"books,contentment,friends,friendship,life","“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
Dr. Seuss,02,March, 1904," Sprgfield, MA", The United States,fantasy,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”"
Marilyn Monroe,01,June, 1926,, The United States,"be-yourself,inspirational","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
Allen Saunders,24,April, 1899,, The United States,"fate,life,misattributed-john-lennon,planning,plans",“Life is what happens to us while we are making other plans.”
Bob Marley,06,February, 1945," Ne Mile, Sat Ann", Jamaica,love,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
Jim Henson,24,September, 1936," Greenville, Mississippi", The United States,humor,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
Friedrich Nietzsche,15,October, 1844," Röcken bei Lützen, Prussian Provce of Saxony", Germany,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
Eleanor Roosevelt,11,October, 1884,, The United States,misattributed-eleanor-roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
Thomas A. Edison,11,February, 1847," Milan, Ohio", The United States,"edison,failure,inspirational,paraphrased","“I have not failed. I've just found 10,000 ways that won't work.”"
Garrison Keillor,07,August, 1942," Anoka, Mnesota", The United States,"humor,religion",“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
Ralph Waldo Emerson,25,May, 1803," Boston, Massachusetts", The United States,happiness,“For every minute you are angry you lose sixty seconds of happiness.”
Charles M. Schulz,26,November, 1922," Mneapolis, MN", The United States,"chocolate,food,humor",“All you need is love. But a little chocolate now and then doesn't hurt.”
George Eliot,22,November, 1819," South Farm, Arbury Hall, Nuneaton, Warwickshire", The United Kgdom,inspirational,“It is never too late to be what you might have been.”
Mother Teresa,26,August, 1910," Skopje, Macedonia", the Former Yugoslav Republic of,attributed-no-source,"“If you judge people, you have no time to love them.”"
Pablo Neruda,12,July, 1904, Parral, Chile,"love,poetry","“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
Jorge Luis Borges,24,August, 1899, Buenos Aires, Argenta,"books,library",“I have always imagined that Paradise will be a kind of library.”
Martin Luther King Jr.,15,January, 1929," Atlanta, Georgia", The United States,"hope,inspirational",“Only in the darkness can you see the stars.”
George R.R. Martin,20,September, 1948," Bayonne, New Jersey", The United States,"read,readers,reading,reading-books","“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”"
Stephenie Meyer,24,December, 1973, Connecticut, The United States,"drug,romance,simile","“He's like a drug for you, Bella.”"
Ernest Hemingway,21,July, 1899," Oak Park, Illois", The United States,"books,friends,novelist-quotes",“There is no friend as loyal as a book.”
William Nicholson,12,January, 1948," Lewes, Sussex", The United Kgdom,"misattributed-to-c-s-lewis,reading",“We read to know we're not alone.”
André Gide,22,November, 1869, Paris, France,"life,love",“It is better to be hated for what you are than to be loved for what you are not.”
C.S. Lewis,29,November, 1898, Belfast, Ireland,"books,inspirational,reading,tea",“You can never get a cup of tea large enough or a book long enough to suit me.”
Alexandre Dumas fils,27,July, 1824, Paris, France,misattributed-to-einstein,“The difference between genius and stupidity is: genius has its limits.”
Helen Keller,27,June, 1880," Tuscumbia, Alabama", The United States,inspirational,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”"
George Bernard Shaw,26,July, 1856, Dubl, Ireland,"inspirational,life,yourself",“Life isn't about finding yourself. Life is about creating yourself.”
Suzanne Collins,11,August, 1962," Hartford, Connecticut", The United States,the-hunger-games,“You don’t forget the face of the person who was your last hope.”
Charles Bukowski,16,August, 1920, Andernach, Germany,alcohol,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”"
J.R.R. Tolkien,03,January, 1892," Bloemfonte, Mangaung, Free State", South Africa,"bilbo,journey,lost,quest,travel,wander",“Not all those who wander are lost.”
James Baldwin,02,August, 1924," Harlem, New York", The United States,love,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”"
Haruki Murakami,12,January, 1949, Kyoto, Japan,"books,thought","“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”"
Ayn Rand,02,February, 1905, St. Petersburg, Russian Federation,,“The question isn't who is going to let me; it's who is going to stop me.”
John Lennon,09,October, 1940," Liverpool, England", The United Kgdom,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace","“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”"
W.C. Fields,29,January, 1880," Darby, Pennsylvania", The United States,"humor,sinister",“I am free of all prejudice. I hate everyone equally. ”
J.D. Salinger,01,January, 1919," Manhattan, New York", The United States,"authors,books,literature,reading,writing","“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”"
Alfred Tennyson,06,August, 1809," Somersby, Lcolnshire", The United Kgdom,"friendship,love",“If I had a flower for every time I thought of you...I could walk through my garden forever.”
Terry Pratchett,28,April, 1948," Beaconsfield, Buckghamshire, England", The United Kgdom,"humor,open-mind,thinking","“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”"
George Carlin,12,May, 1937," New York, New York", The United States,"humor,insanity,lies,lying,self-indulgence,truth",“The reason I talk to myself is because I’m the only one whose answers I accept.”
J.M. Barrie,09,May, 1860," Kirriemuir, Angus, Scotland", The United Kgdom,"adventure,love",“To die will be an awfully big adventure.”
Jimi Hendrix,27,November, 1942," Seattle, Washgton", The United States,"death,life","“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”"
Khaled Hosseini,04,March, 1965, Kabul, Afghanistan,life,“But better to get hurt by the truth than comforted with a lie.”
Harper Lee,28,April, 1926," Monroeville, Alabama", The United States,better-life-empathy,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”
Madeleine L'Engle,29,November, 1918," New York City, New York", The United States,"books,children,difficult,grown-ups,write,writers,writing","“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”"
E.E. Cummings,14,October, 1894," Cambridge, Massachusetts", The United States,courage,“It takes courage to grow up and become who you really are.”
